"trial_type","trial_index","time_elapsed","internal_node_id","subject","tap_condition","experiment","code_version","rt","stimulus","key_press","event","button_pressed","response"
"audio-multiple-response","26","282260","0.0-15.0","48","true","ITLT","v1.0","661,952,1192,1571","stimuli/practice_sequence_407.wav","74,74,74,74","practice_tones","",""
"html-slider-response","27","288554","0.0-16.0","48","true","ITLT","v1.0","6287.710000004154","How fast was the repeating tone relative to the metronome?","","response","","65"
"html-button-response","28","304493","0.0-17.0","48","true","ITLT","v1.0","14420.72500003269","<p>You have completed the practice trials and are now ready to begin!</p><p>Remember, your goal is to determine how much faster or slower the repeating tone is, compared to the metronome, while you tap in time with each.</p><p>Please note that the trials are organized into three blocks, and you will have the opportunity to rest between blocks. If the practice trials were too loud or too quiet, adjust your volume now.</p><p><strong>It is critical that you do not adjust your volume any further until the study has concluded.</strong></p><p>Press the button below when you are ready to proceed.</p>","","summary_instructions","0",""
"audio-multiple-response","29","308761","0.0-18.0","48","true","ITLT","v1.0","341,792,1280,1741","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","30","312101","0.0-19.0","48","true","ITLT","v1.0","259,589,819,1069,1360","stimuli/sequence_3_329_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","31","319272","0.0-20.0","48","true","ITLT","v1.0","7168.81000000285","How fast was the repeating tone relative to the metronome?","","response","","68"
"audio-multiple-response","32","323041","0.0-21.0","48","true","ITLT","v1.0","320,720,1171,1731","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","33","327452","0.0-22.0","48","true","ITLT","v1.0","251,691,1291,1899,2509","stimuli/sequence_4_599_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","34","334463","0.0-23.0","48","true","ITLT","v1.0","7009.109999984503","How fast was the repeating tone relative to the metronome?","","response","","46"
"audio-multiple-response","35","338241","0.0-24.0","48","true","ITLT","v1.0","269,648,1128,1629,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","36","343091","0.0-25.0","48","true","ITLT","v1.0","259,611,1520,2211,2899","stimuli/sequence_3_710_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","37","351339","0.0-26.0","48","true","ITLT","v1.0","8245.150000031572","How fast was the repeating tone relative to the metronome?","","response","","35"
"audio-multiple-response","38","355102","0.0-27.0","48","true","ITLT","v1.0","291,680,1120,1659,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","39","359322","0.0-28.0","48","true","ITLT","v1.0","269,691,1181,1701,2280","stimuli/sequence_5_550_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","40","360524","0.0-29.0","48","true","ITLT","v1.0","1195.6699999864213","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","41","364283","0.0-30.0","48","true","ITLT","v1.0","309,680,1099,1640,2248","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","42","367862","0.0-31.0","48","true","ITLT","v1.0","248,669,939,1240,1549","stimuli/sequence_6_390_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","43","372523","0.0-32.0","48","true","ITLT","v1.0","4658.814999973401","How fast was the repeating tone relative to the metronome?","","response","","63"
"audio-multiple-response","44","376292","0.0-33.0","48","true","ITLT","v1.0","309,720,1171,1651,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","45","380712","0.0-34.0","48","true","ITLT","v1.0","261,632,1181,1781,2472","stimuli/sequence_7_599_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","46","382378","0.0-35.0","48","true","ITLT","v1.0","1663.9999999897555","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","47","386132","0.0-36.0","48","true","ITLT","v1.0","309,720,1160,1691","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","48","389462","0.0-37.0","48","true","ITLT","v1.0","269,589,840,1069,1339","stimuli/sequence_6_329_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","49","400493","0.0-38.0","48","true","ITLT","v1.0","11029.044999973848","How fast was the repeating tone relative to the metronome?","","response","","64"
"audio-multiple-response","50","404263","0.0-39.0","48","true","ITLT","v1.0","459,779,1160,1629,2171","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","51","407831","0.0-40.0","48","true","ITLT","v1.0","272,552,851,1200,1592","stimuli/sequence_5_390_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","52","412567","0.0-41.0","48","true","ITLT","v1.0","4732.954999955837","How fast was the repeating tone relative to the metronome?","","response","","61"
"audio-multiple-response","53","416330","0.0-42.0","48","true","ITLT","v1.0","389,789,1280,1760","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","54","422350","0.0-43.0","48","true","ITLT","v1.0","251,520,1760,2491,3251","stimuli/sequence_3_1000_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","55","426952","0.0-44.0","48","true","ITLT","v1.0","4599.150000023656","How fast was the repeating tone relative to the metronome?","","response","","19"
"audio-multiple-response","56","430721","0.0-45.0","48","true","ITLT","v1.0","400,779,1160,1600,2160","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","57","434451","0.0-46.0","48","true","ITLT","v1.0","288,699,960,1320,1739","stimuli/sequence_2_425_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","58","439021","0.0-47.0","48","true","ITLT","v1.0","4567.225000006147","How fast was the repeating tone relative to the metronome?","","response","","69"
"audio-multiple-response","59","442780","0.0-48.0","48","true","ITLT","v1.0","349,680,1189,1691,2219","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","60","448460","0.0-49.0","48","true","ITLT","v1.0","352,651,1672,2392,3280","stimuli/sequence_7_918_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","61","453521","0.0-50.0","48","true","ITLT","v1.0","5058.615000045393","How fast was the repeating tone relative to the metronome?","","response","","14"
"audio-multiple-response","62","457280","0.0-51.0","48","true","ITLT","v1.0","392,832,1312,1771","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","63","461149","0.0-52.0","48","true","ITLT","v1.0","299,720,1040,1440,1909","stimuli/sequence_3_463_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","64","465011","0.0-53.0","48","true","ITLT","v1.0","3859.9550000508316","How fast was the repeating tone relative to the metronome?","","response","","62"
"audio-multiple-response","65","468770","0.0-54.0","48","true","ITLT","v1.0","291,629,1109,1640,2211","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","66","471980","0.0-55.0","48","true","ITLT","v1.0","269,640,880,1120,1360","stimuli/sequence_5_302_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","67","477152","0.0-56.0","48","true","ITLT","v1.0","5169.020000030287","How fast was the repeating tone relative to the metronome?","","response","","75"
"audio-multiple-response","68","480920","0.0-57.0","48","true","ITLT","v1.0","368,808,1320,1768","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","69","484961","0.0-58.0","48","true","ITLT","v1.0","349,808,1219,1608,2109","stimuli/sequence_3_504_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","70","488758","0.0-59.0","48","true","ITLT","v1.0","3794.9899999657646","How fast was the repeating tone relative to the metronome?","","response","","53"
"audio-multiple-response","71","492520","0.0-60.0","48","true","ITLT","v1.0","291,720,1141,1651,2181","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","72","495751","0.0-61.0","48","true","ITLT","v1.0","259,629,869,1099,1320","stimuli/sequence_4_302_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","73","499071","0.0-62.0","48","true","ITLT","v1.0","3317.704999994021","How fast was the repeating tone relative to the metronome?","","response","","77"
"audio-multiple-response","74","502840","0.0-63.0","48","true","ITLT","v1.0","408,779,1240,1688","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","75","506411","0.0-64.0","48","true","ITLT","v1.0","280,611,829,1189,1549","stimuli/sequence_7_390_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","76","510041","0.0-65.0","48","true","ITLT","v1.0","3627.184999990277","How fast was the repeating tone relative to the metronome?","","response","","58"
"audio-multiple-response","77","513800","0.0-66.0","48","true","ITLT","v1.0","472,811,1181,1640,2211","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","78","519480","0.0-67.0","48","true","ITLT","v1.0","291,509,1560,2251,3021,3789","stimuli/sequence_6_918_2.wav","74,74,74,74,74,74","tones","",""
"html-slider-response","79","524753","0.0-68.0","48","true","ITLT","v1.0","5269.205000018701","How fast was the repeating tone relative to the metronome?","","response","","28"
"audio-multiple-response","80","528522","0.0-69.0","48","true","ITLT","v1.0","451,861,1331,1701,2232","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","81","531862","0.0-70.0","48","true","ITLT","v1.0","379,680,939,1208,1459","stimuli/sequence_2_329_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","82","536361","0.0-71.0","48","true","ITLT","v1.0","4495.170000009239","How fast was the repeating tone relative to the metronome?","","response","","67"
"audio-multiple-response","83","540133","0.0-72.0","48","true","ITLT","v1.0","440,821,1240,1741,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","84","544753","0.0-73.0","48","true","ITLT","v1.0","320,789,1400,1979,2608","stimuli/sequence_7_652_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","85","552404","0.0-74.0","48","true","ITLT","v1.0","7647.850000008475","How fast was the repeating tone relative to the metronome?","","response","","44"
"audio-multiple-response","86","556163","0.0-75.0","48","true","ITLT","v1.0","488,840,1219,1720,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","87","562165","0.0-76.0","48","true","ITLT","v1.0","291,629,1880,2941,4200","stimuli/sequence_2_1000_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","88","566872","0.0-77.0","48","true","ITLT","v1.0","4703.000000037719","How fast was the repeating tone relative to the metronome?","","response","","26"
"audio-multiple-response","89","570642","0.0-78.0","48","true","ITLT","v1.0","352,792,1240,1661,2232","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","90","574511","0.0-79.0","48","true","ITLT","v1.0","419,720,1051,1419,1909","stimuli/sequence_4_463_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","91","578793","0.0-80.0","48","true","ITLT","v1.0","4279.930000018794","How fast was the repeating tone relative to the metronome?","","response","","55"
"audio-multiple-response","92","582562","0.0-81.0","48","true","ITLT","v1.0","440,821,1272,1752","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","93","586583","0.0-82.0","48","true","ITLT","v1.0","291,611,1061,1549,2069","stimuli/sequence_2_504_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","94","588140","0.0-83.0","48","true","ITLT","v1.0","1555.2599999937229","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","95","591902","0.0-84.0","48","true","ITLT","v1.0","480,931,1520,2109","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","96","596754","0.0-85.0","48","true","ITLT","v1.0","272,651,1632,2280,2880","stimuli/sequence_4_710_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","97","601332","0.0-86.0","48","true","ITLT","v1.0","4576.300000015181","How fast was the repeating tone relative to the metronome?","","response","","33"
"audio-multiple-response","98","605101","0.0-87.0","48","true","ITLT","v1.0","531,1291,1691,2200","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","99","609312","0.0-88.0","48","true","ITLT","v1.0","272,781,1200,1691,2192","stimuli/sequence_6_550_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","100","613854","0.0-89.0","48","true","ITLT","v1.0","4540.399999998044","How fast was the repeating tone relative to the metronome?","","response","","51"
"audio-multiple-response","101","617611","0.0-90.0","48","true","ITLT","v1.0","469,851,1301,1749,2211","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","102","622241","0.0-91.0","48","true","ITLT","v1.0","291,891,1400,1971,2632","stimuli/sequence_2_652_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","103","625919","0.0-92.0","48","true","ITLT","v1.0","3676.225000002887","How fast was the repeating tone relative to the metronome?","","response","","36"
"audio-multiple-response","104","629691","0.0-93.0","48","true","ITLT","v1.0","541,949,1371,1811","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","105","635701","0.0-94.0","48","true","ITLT","v1.0","328,880,2109,3179","stimuli/sequence_5_1000_0.wav","74,74,74,74","tones","",""
"html-slider-response","106","639812","0.0-95.0","48","true","ITLT","v1.0","4109.204999986105","How fast was the repeating tone relative to the metronome?","","response","","28"
"audio-multiple-response","107","643571","0.0-96.0","48","true","ITLT","v1.0","520,931,1451,1981","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","108","646803","0.0-97.0","48","true","ITLT","v1.0","291,672,901,1112,1320","stimuli/sequence_7_302_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","109","650522","0.0-98.0","48","true","ITLT","v1.0","3717.304999998305","How fast was the repeating tone relative to the metronome?","","response","","81"
"audio-multiple-response","110","654291","0.0-99.0","48","true","ITLT","v1.0","429,941,1429,1909","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","111","658920","0.0-100.0","48","true","ITLT","v1.0","291,880,1381,1941,2600","stimuli/sequence_5_652_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","112","662312","0.0-101.0","48","true","ITLT","v1.0","3389.5749999792315","How fast was the repeating tone relative to the metronome?","","response","","27"
"audio-multiple-response","113","666080","0.0-102.0","48","true","ITLT","v1.0","368,800,1240,1688,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","114","671781","0.0-103.0","48","true","ITLT","v1.0","280,669,1848,2888,3688","stimuli/sequence_4_918_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","115","675622","0.0-104.0","48","true","ITLT","v1.0","3838.8600000180304","How fast was the repeating tone relative to the metronome?","","response","","23"
"audio-multiple-response","116","679381","0.0-105.0","48","true","ITLT","v1.0","429,789,1179,1651,2200","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","117","684230","0.0-106.0","48","true","ITLT","v1.0","451,1000,1581,2171,2811","stimuli/sequence_6_710_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","118","687772","0.0-107.0","48","true","ITLT","v1.0","3540.91000003973","How fast was the repeating tone relative to the metronome?","","response","","45"
"html-button-response","119","697842","0.0-108.0","48","true","ITLT","v1.0","8559.970000002068","<h3>You have completed block 1 of 3</h3><p>When you are ready to continue, press the button below to begin the second block.</p><p><em>Remember to use the J or F key to tap in time with the clicks and tones on each trial.</em></p><p><em>Additionally, please do not adjust your volume until the study has concluded.</em></p>","","break","0",""
"audio-multiple-response","120","702101","0.0-109.0","48","true","ITLT","v1.0","411,800,1189,1659,2211","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","121","705812","0.0-110.0","48","true","ITLT","v1.0","301,680,981,1312,1720","stimuli/sequence_4_425_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","122","709727","0.0-111.0","48","true","ITLT","v1.0","3911.0550000332296","How fast was the repeating tone relative to the metronome?","","response","","65"
"audio-multiple-response","123","713491","0.0-112.0","48","true","ITLT","v1.0","389,781,1229,1701,2221","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","124","716714","0.0-113.0","48","true","ITLT","v1.0","400,648,888,1109,1320","stimuli/sequence_2_302_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","125","719863","0.0-114.0","48","true","ITLT","v1.0","3146.3349999976344","How fast was the repeating tone relative to the metronome?","","response","","82"
"audio-multiple-response","126","723622","0.0-115.0","48","true","ITLT","v1.0","520,840,1269,1691,2219","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","127","727662","0.0-116.0","48","true","ITLT","v1.0","291,760,1200,1581,2101","stimuli/sequence_4_504_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","128","728793","0.0-117.0","48","true","ITLT","v1.0","1129.2100000428036","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","129","732563","0.0-118.0","48","true","ITLT","v1.0","528,989,1528,2099","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","130","737952","0.0-119.0","48","true","ITLT","v1.0","299,669,1731,2659,3451","stimuli/sequence_6_843_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","131","742723","0.0-120.0","48","true","ITLT","v1.0","4769.654999952763","How fast was the repeating tone relative to the metronome?","","response","","35"
"audio-multiple-response","132","746482","0.0-121.0","48","true","ITLT","v1.0","480,832,1280,1720","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","133","751602","0.0-122.0","48","true","ITLT","v1.0","269,968,1659,2320,3048","stimuli/sequence_2_774_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","134","758222","0.0-123.0","48","true","ITLT","v1.0","6618.599999987055","How fast was the repeating tone relative to the metronome?","","response","","41"
"audio-multiple-response","135","762002","0.0-124.0","48","true","ITLT","v1.0","448,840,1328,1739,2229","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","136","765722","0.0-125.0","48","true","ITLT","v1.0","269,680,989,1349,1789","stimuli/sequence_7_425_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","137","767633","0.0-126.0","48","true","ITLT","v1.0","1908.7350000045262","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","138","771400","0.0-127.0","48","true","ITLT","v1.0","400,819,1309,1749","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","139","776501","0.0-128.0","48","true","ITLT","v1.0","400,1011,1669,2320,3080","stimuli/sequence_5_774_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","140","785531","0.0-129.0","48","true","ITLT","v1.0","9027.524999983143","How fast was the repeating tone relative to the metronome?","","response","","43"
"audio-multiple-response","141","789290","0.0-130.0","48","true","ITLT","v1.0","461,811,1301,1811","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","142","793320","0.0-131.0","48","true","ITLT","v1.0","280,688,1109,1560,2080","stimuli/sequence_7_504_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","143","794391","0.0-132.0","48","true","ITLT","v1.0","1069.1149999620393","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","144","798160","0.0-133.0","48","true","ITLT","v1.0","419,800,1208,1680,2219","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","145","801500","0.0-134.0","48","true","ITLT","v1.0","299,619,869,1099,1360","stimuli/sequence_5_329_2.wav","74,74,74,74,74","tones","",""
"html-slider-response","146","804670","0.0-135.0","48","true","ITLT","v1.0","3168.0300000007264","How fast was the repeating tone relative to the metronome?","","response","","73"
"audio-multiple-response","147","808439","0.0-136.0","48","true","ITLT","v1.0","459,869,1368,1819","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","148","812650","0.0-137.0","48","true","ITLT","v1.0","309,800,1189,1651,2139","stimuli/sequence_3_550_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","149","813972","0.0-138.0","48","true","ITLT","v1.0","1320.0550000183284","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","150","817740","0.0-139.0","48","true","ITLT","v1.0","371,819,1299,1739,2240","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","151","823420","0.0-140.0","48","true","ITLT","v1.0","392,1192,1981,2840,3672","stimuli/sequence_2_918_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","152","826371","0.0-141.0","48","true","ITLT","v1.0","2948.819999990519","How fast was the repeating tone relative to the metronome?","","response","","16"
"audio-multiple-response","153","830141","0.0-142.0","48","true","ITLT","v1.0","389,811,1240,1709,2229","stimuli/reference_sequence.wav","74,74,74,74,74","metronome","",""
"audio-multiple-response","154","833582","0.0-143.0","48","true","ITLT","v1.0","280,621,861,1152,1472","stimuli/sequence_3_358_0.wav","74,74,74,74,74","tones","",""
